Number of Ports,Buffer Size,Knockout,Packet Generation Probability,Queue Type,Average Packet Delay (in slots),Standard Deviation PD (in slots),Average Link Utilization,KOUQ Drop probability
50,2,NA,1,INQ,5.3825,1.95699,0.590988,NA
50,3,NA,1,INQ,7.07847,2.42338,0.5903,NA
50,4,NA,1,INQ,8.7683,2.77902,0.590428,NA
50,2,0.6,1,KOUQ,3.5336,0.49887,0.78957,0
50,3,0.6,1,KOUQ,4.05029,0.807532,0.852228,0
50,4,0.6,1,KOUQ,4.55673,1.10229,0.886418,0
50,2,NA,1,ISLIP,4.77962,2.47929,0.719146,NA
50,3,NA,1,ISLIP,5.83577,3.74557,0.78147,NA
50,4,NA,1,ISLIP,6.87738,4.96902,0.819136,NA
