Number of Ports,Buffer Size,Knockout,Packet Gen Prob,Queue Type,Avg PD,Std Dev PD,Avg Link Utilization,KOUQ Drop prob
8,4,NA,0.5,ISLIP,3.65467,1.16008,0.499013,NA
8,4,NA,0.5,ISLIP,3.66331,1.17264,0.50065,NA
8,4,NA,0.5,ISLIP,3.67738,1.17205,0.499925,NA
8,4,NA,0.5,ISLIP,3.65431,1.15933,0.497225,NA
6,2,NA,0.3,ISLIP,3.23424,0.584119,0.296417,NA
