Number of Ports,Buffer Size,Knockout,Packet Generation Probability,Queue Type,Average Packet Delay (in slots),Standard Deviation PD (in slots),Average Link Utilization,KOUQ Drop probability
36,4,0.6,0.5,KOUQ,3.48359,0.791012,0.498933,0
37,4,0.6,0.5,KOUQ,3.48913,0.804045,0.500189,0
38,4,0.6,0.5,KOUQ,3.48488,0.794796,0.4999,0
39,4,0.6,0.5,KOUQ,3.48867,0.805655,0.498603,0
40,4,0.6,0.5,KOUQ,3.48941,0.796943,0.501,0
41,4,0.6,0.5,KOUQ,3.48551,0.80476,0.498988,0
42,4,0.6,0.5,KOUQ,3.49008,0.806005,0.499964,0
43,4,0.6,0.5,KOUQ,3.4879,0.801432,0.499772,0
44,4,0.6,0.5,KOUQ,3.48765,0.798546,0.498991,0
45,4,0.6,0.5,KOUQ,3.49171,0.808729,0.499147,0
46,4,0.6,0.5,KOUQ,3.48888,0.805244,0.500411,0
47,4,0.6,0.5,KOUQ,3.48672,0.795798,0.499981,0
48,4,0.6,0.5,KOUQ,3.48495,0.795885,0.499054,0
49,4,0.6,0.5,KOUQ,3.49185,0.807619,0.501373,0
50,4,0.6,0.5,KOUQ,3.49651,0.815957,0.50034,0
4,4,NA,0.5,ISLIP,3.57072,1.00757,0.501425,NA
5,4,NA,0.5,ISLIP,3.58789,1.06438,0.49938,NA
6,4,NA,0.5,ISLIP,3.64381,1.13915,0.5009,NA
7,4,NA,0.5,ISLIP,3.64401,1.14364,0.497286,NA
8,4,NA,0.5,ISLIP,3.65505,1.15092,0.500838,NA
9,4,NA,0.5,ISLIP,3.6882,1.19899,0.502522,NA
10,4,NA,0.5,ISLIP,3.67537,1.19045,0.49734,NA
11,4,NA,0.5,ISLIP,3.68626,1.20549,0.499027,NA
12,4,NA,0.5,ISLIP,3.70491,1.24302,0.500892,NA
13,4,NA,0.5,ISLIP,3.68939,1.19983,0.499338,NA
14,4,NA,0.5,ISLIP,3.68848,1.20628,0.497071,NA
15,4,NA,0.5,ISLIP,3.71542,1.24545,0.49936,NA
